ts,coin,move_pct,ret1,ret7,ret30,regime_tendance,regime_ia,conf_ia,source,decision
2026-07-02T14:04:59.848061+00:00,DYDX,-25.69,0.031,0.0353,-0.0729,neutre,,,tendance,REV
2026-07-03T01:17:35.481636+00:00,FARTCOIN,21.19,-0.0006,0.0246,-0.0401,neutre,,,tendance,REV
2026-07-03T15:33:50.441764+00:00,XPL,22.27,0.0079,0.0332,-0.0319,neutre,,,tendance,REV
2026-07-04T03:18:19.163502+00:00,HMSTR,55.98,0.0,0.043,-0.02,neutre,,,tendance,REV
2026-07-05T12:17:34.856179+00:00,HMSTR,-20.94,-0.0074,0.0522,0.0267,haussier,,,tendance,MOM
2026-07-06T17:22:21.964693+00:00,BLUR,35.05,0.0031,0.0599,0.0488,haussier,,,tendance,MOM
2026-07-06T19:16:48.706689+00:00,HMSTR,24.35,0.0017,0.0584,0.0474,haussier,,,tendance,MOM
2026-07-07T10:32:30.598701+00:00,CHIP,20.03,-0.0122,0.0796,-0.0006,neutre,,,tendance,REV
2026-07-07T15:51:03.604365+00:00,BANANA,20.6,-0.0007,0.0922,0.0111,haussier,,,tendance,MOM
2026-07-07T20:15:02.290909+00:00,HMSTR,-31.12,-0.0045,0.0881,0.0072,haussier,,,tendance,MOM
2026-07-07T21:45:25.791753+00:00,GRASS,-20.28,-0.0106,0.0814,0.001,haussier,,,tendance,MOM
2026-07-08T06:29:03.070445+00:00,VINE,-21.09,-0.011,0.0442,-0.0063,neutre,,,tendance,REV
2026-07-08T09:09:20.713651+00:00,JTO,-21.59,-0.0223,0.0322,-0.0177,neutre,,,tendance,REV
2026-07-08T11:18:06.217041+00:00,BLUR,-20.33,-0.0201,0.0345,-0.0155,neutre,,,tendance,REV
2026-07-08T20:21:39.333892+00:00,HMSTR,-24.63,-0.0181,0.0366,-0.0135,neutre,,,tendance,REV
2026-07-09T07:02:05.205427+00:00,VINE,32.04,0.0125,0.0239,0.0221,haussier,,,tendance,MOM
