ts,bot,coin,action,side,notional_usd,mark,resp,pnl_est_usd
2026-07-21T09:27:06.930228+00:00,28_carry_hold,ZRO,open,-1,11.77,0.79068,ok,
2026-07-22T19:01:17.901163+00:00,28_carry_hold,ZRO,close,-1,11.77,0.80895,ok,-0.28
2026-07-22T19:16:14.029114+00:00,28_carry_hold,JUP,open,1,11.77,0.1897,ok,
2026-07-23T23:45:50.368023+00:00,28_carry_hold,RSR,open,1,84.96,0.001251,ok,
2026-07-23T23:45:50.368023+00:00,28_carry_hold,ACE,open,1,84.96,0.0803,ok,
2026-07-23T23:45:50.368023+00:00,28_carry_hold,SAGA,open,-1,84.96,0.01281,ok,
2026-07-23T23:45:50.368023+00:00,28_carry_hold,MORPHO,open,1,84.96,1.9437,ok,
2026-07-23T23:45:50.368023+00:00,28_carry_hold,CC,open,1,84.96,0.1224,ok,
2026-07-23T23:45:50.368023+00:00,28_carry_hold,STABLE,open,-1,84.96,0.038181,ok,
2026-07-23T23:45:50.368023+00:00,28_carry_hold,XMR,open,-1,84.96,357.005,ok,
2026-07-23T23:45:50.368023+00:00,28_carry_hold,CASHCAT,open,-1,84.96,0.046162,ok,
2026-07-24T02:31:05.440592+00:00,28_carry_hold,SPX,open,1,84.96,0.3335,ok,
2026-07-24T03:45:55.648528+00:00,28_carry_hold,CASHCAT,open,-1,84.96,0.052589,ok,
2026-07-24T03:45:55.648528+00:00,28_carry_hold,SAGA,close,-1,84.96,0.01299,ok,-1.253
2026-07-24T08:15:51.392640+00:00,28_carry_hold,JUP,open,1,84.96,0.18888,ok,
